,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2839,Trapped,0.611,0.229,9,-16.831,0,0.089,0.436,0.872,0.11,0.725,155.473,audio_features,30kQOePIsvOzuUoYFrT9sh,spotify:track:30kQOePIsvOzuUoYFrT9sh,https://api.spotify.com/v1/tracks/30kQOePIsvOzuUoYFrT9sh,https://api.spotify.com/v1/audio-analysis/30kQOePIsvOzuUoYFrT9sh,39947,3
2840,The Widow,0.236,0.658,9,-6.059,0,0.0349,0.628,0.00927,0.276,0.106,106.222,audio_features,5meJWQuHyHDsOjWF8AtSDe,spotify:track:5meJWQuHyHDsOjWF8AtSDe,https://api.spotify.com/v1/tracks/5meJWQuHyHDsOjWF8AtSDe,https://api.spotify.com/v1/audio-analysis/5meJWQuHyHDsOjWF8AtSDe,350880,3
2841,CARONTE,0.678,0.362,4,-9.89,0,0.0489,0.561,0.47,0.127,0.415,156.062,audio_features,6VQf7dQiuCR1PxrKcMGndq,spotify:track:6VQf7dQiuCR1PxrKcMGndq,https://api.spotify.com/v1/tracks/6VQf7dQiuCR1PxrKcMGndq,https://api.spotify.com/v1/audio-analysis/6VQf7dQiuCR1PxrKcMGndq,280409,3
2842,Cannibal,0.71,0.68,1,-4.676,1,0.106,0.0078,0.0165,0.0493,0.571,129.971,audio_features,3JTMWdhcJPiegDSe7SvZS3,spotify:track:3JTMWdhcJPiegDSe7SvZS3,https://api.spotify.com/v1/tracks/3JTMWdhcJPiegDSe7SvZS3,https://api.spotify.com/v1/audio-analysis/3JTMWdhcJPiegDSe7SvZS3,194253,4
2843,Jump Back,0.385,0.958,8,-4.013,1,0.123,0.479,0.000152,0.0215,0.835,171.593,audio_features,1Ti3pN8KirXqwX5BwxXAKF,spotify:track:1Ti3pN8KirXqwX5BwxXAKF,https://api.spotify.com/v1/tracks/1Ti3pN8KirXqwX5BwxXAKF,https://api.spotify.com/v1/audio-analysis/1Ti3pN8KirXqwX5BwxXAKF,179920,4
2844,I Found,0.389,0.302,7,-12.485,0,0.0438,0.862,0.00567,0.104,0.234,124.956,audio_features,5zT5cMnMKoyruPj13TQXGx,spotify:track:5zT5cMnMKoyruPj13TQXGx,https://api.spotify.com/v1/tracks/5zT5cMnMKoyruPj13TQXGx,https://api.spotify.com/v1/audio-analysis/5zT5cMnMKoyruPj13TQXGx,273000,4
2845,Burn - Remastered 2004,0.387,0.94,7,-6.192,1,0.0376,0.0155,0.023,0.327,0.582,98.533,audio_features,1iW2ktyrQHNKZwFTvgP0Ta,spotify:track:1iW2ktyrQHNKZwFTvgP0Ta,https://api.spotify.com/v1/tracks/1iW2ktyrQHNKZwFTvgP0Ta,https://api.spotify.com/v1/audio-analysis/1iW2ktyrQHNKZwFTvgP0Ta,364933,4
2846,When I R.I.P.,0.417,0.551,8,-6.456,0,0.174,0.73,0.00166,0.0907,0.444,87.614,audio_features,2t16D9V5FmmRAJjsSpwvZf,spotify:track:2t16D9V5FmmRAJjsSpwvZf,https://api.spotify.com/v1/tracks/2t16D9V5FmmRAJjsSpwvZf,https://api.spotify.com/v1/audio-analysis/2t16D9V5FmmRAJjsSpwvZf,174568,4
2847,Hideout - Disco Despair Remix,0.777,0.562,6,-9.957,0,0.0733,0.045,0.033,0.0504,0.791,108.035,audio_features,16TOXB89SudGos8sJjkJpe,spotify:track:16TOXB89SudGos8sJjkJpe,https://api.spotify.com/v1/tracks/16TOXB89SudGos8sJjkJpe,https://api.spotify.com/v1/audio-analysis/16TOXB89SudGos8sJjkJpe,305777,4
2848,Soon Come Tomorrow,0.413,0.649,4,-5.102,0,0.0313,0.0359,0.0,0.722,0.368,144.811,audio_features,0eECJ9FwNMWgiuMDxQwEVo,spotify:track:0eECJ9FwNMWgiuMDxQwEVo,https://api.spotify.com/v1/tracks/0eECJ9FwNMWgiuMDxQwEVo,https://api.spotify.com/v1/audio-analysis/0eECJ9FwNMWgiuMDxQwEVo,298147,3
