,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
78,All in All,All in All,Superjava,2016-12-12,221071,27,0.624,0.29,0.624,0.676,1.39e-06,0.0811,-6.896,0.0538,118.011,4
79,Fire,Max Maco Is Dead Right?,Two Feet,2021-04-16,213933,0,0.523,0.000162,0.523,0.715,0.0843,0.0805,-6.215,0.0358,190.095,4
80,No Eyes,Charmer,Claptone,2015-10-16,242671,60,0.906,0.0869,0.906,0.388,0.0187,0.117,-10.729,0.045,120.027,4
81,Machu Picchu,Angles,The Strokes,2011-03-21,209626,67,0.695,0.0132,0.695,0.817,0.097,0.0601,-5.294,0.0659,105.014,4
82,Daffodils (feat. Kevin Parker),Uptown Special,Mark Ronson,2015-01-12,298133,55,0.724,0.0408,0.724,0.538,0.0139,0.0343,-8.041,0.0381,108.945,4
83,Easy Lover,Chinese Wall,Philip Bailey,1985-03-20,304506,70,0.749,0.0674,0.749,0.699,0.00192,0.0763,-13.108,0.0371,128.904,4
84,Applause,ARTPOP,Lady Gaga,2013-11-11,212333,78,0.669,0.0265,0.669,0.78,1.63e-06,0.143,-4.287,0.053,139.945,4
85,Slipping Away,Side A,LEISURE,2020-10-30,235506,0,0.707,0.43,0.707,0.547,0.16,0.101,-9.021,0.0389,78.0,4
86,All Night Long (All Night) - Single Version,Back To Front,Lionel Richie,1992-01-01,258665,74,0.748,0.15,0.748,0.603,0.000261,0.0269,-12.044,0.043,108.831,4
87,Tainted Love,Non-Stop Erotic Cabaret,Soft Cell,1981,153800,83,0.5,0.462,0.5,0.501,0.0,0.26,-8.284,0.0376,144.438,4
88,No Choice,The Slow Rush B-Sides & Remixes,Tame Impala,2022-02-18,221826,57,0.491,0.00675,0.491,0.85,0.000985,0.118,-4.755,0.0987,180.027,4
89,Besarnos de cero,@dannocean,Danny Ocean,2022-02-17,148608,48,0.873,0.281,0.873,0.661,0.0,0.0712,-6.104,0.0916,106.998,4
90,Istanbul,@dannocean,Danny Ocean,2022-02-17,148791,58,0.764,0.425,0.764,0.495,0.0,0.0987,-7.975,0.286,93.892,4
91,???,@dannocean,Danny Ocean,2022-02-17,203910,50,0.71,0.245,0.71,0.847,0.00142,0.0966,-7.21,0.0348,132.995,4
92,Cuando Me Acerco A Ti,54+1,Danny Ocean,2019-03-22,193435,66,0.736,0.183,0.736,0.543,0.0,0.197,-9.037,0.24,91.913,4
93,Así Es la Vida,El Que Busca Encuentra,Elefante,2001-10-23,310146,73,0.799,0.134,0.799,0.664,0.0,0.146,-8.16,0.0899,97.987,4
94,Forever,Euphoria (Original Score from the HBO Series),Labrinth,2019-10-04,202536,73,0.563,0.92,0.563,0.459,0.724,0.11,-7.781,0.0292,79.983,4
95,Formula,Euphoria (Original Score from the HBO Series),Labrinth,2019-10-04,91869,85,0.574,0.0448,0.574,0.664,0.0553,0.146,-6.068,0.0409,144.654,4
96,Alegrías de Graná,Las Canciones del Agua,Los Planetas,2022-01-21,210496,36,0.402,0.142,0.402,0.573,0.000875,0.11,-7.841,0.0312,166.102,3
97,2502,Montaña rusa,Second,2013-09-03,265786,43,0.584,1.75e-05,0.584,0.829,0.198,0.113,-6.155,0.03,135.021,4
98,Tonterías,Tonterías,Sexy Zebras,2021-04-08,228444,35,0.589,0.00278,0.589,0.893,1.23e-06,0.123,-5.241,0.0957,134.953,4
99,Típica Cara,Típica Cara,Novedades Carminha,2021-06-24,245999,29,0.802,0.0685,0.802,0.752,0.072,0.233,-7.518,0.0372,147.376,4
